State,District,Latitude,Longitude,Population,Male,Female,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Rural_Households,Urban_Households,sex_ratio,literacy_rate,male_literacy,female_literacy
Punjab,Kapurthala,31.336592638036837,75.47641165644177,815168,426311,388857,336124,10190,5445,453692,6662,553,334,165433,95770,912.0,71.0,74.0,67.0
Punjab,Ludhiana,30.76596397379912,75.83110851528383,3498739,1867816,1630923,1502403,77713,16517,1863408,2007,19620,1254,395032,641789,873.0,73.0,76.0,69.0
Punjab,Mansa,29.919547714285724,75.4304922857143,769751,408732,361019,156539,10375,917,598443,123,1577,493,145603,50786,883.0,55.0,60.0,50.0
Punjab,Moga,30.756540067340065,75.1600845117845,995746,525920,469826,158414,9388,3277,818921,178,436,365,214295,74144,893.0,63.0,66.0,59.0
Punjab,Muktsar,30.31243303303303,74.5518747747748,901896,475622,426274,254920,4333,1681,638625,240,744,433,149507,74650,896.0,58.0,63.0,53.0
Punjab,Patiala,30.214540380693364,76.27505893949697,1895686,1002522,893164,783306,40043,5683,1059944,245,1914,1410,299279,218090,891.0,67.0,71.0,62.0
Punjab,Rupnagar,30.910937330754347,76.53743500967126,684627,357485,327142,304481,14492,2094,361045,118,653,143,148162,60537,915.0,73.0,78.0,69.0
Punjab,Sangrur,30.185045204336895,75.89437014178496,1655169,878029,777140,389410,179116,2406,1077438,268,3222,1038,292156,156788,885.0,61.0,65.0,56.0
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,2583052,1324085,1258967,2201663,314159,10605,6799,417,45614,184,409335,274919,951.0,59.0,70.0,48.0
Rajasthan,Alwar,27.55271738035265,76.65359630562563,3674179,1939026,1735153,3039279,547335,2696,64532,4384,13221,348,782294,212967,895.0,59.0,70.0,47.0
Rajasthan,Banswara,23.453642032967014,74.44246868131869,1797485,907754,889731,1701234,48834,22250,427,138,22613,109,390437,39407,980.0,46.0,57.0,35.0
Rajasthan,Baran,24.98023243243244,76.86210651828291,1222755,633945,588810,1133349,79984,1432,3066,84,2795,48,249184,69804,929.0,57.0,68.0,44.0
Rajasthan,Barmer,25.77070908045978,71.50297126436782,2603751,1369022,1234729,2244882,321192,1157,450,157,34010,34,542825,55980,902.0,46.0,57.0,33.0
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,2548462,1355726,1192736,2143046,371286,1576,23456,899,5758,18,479437,129697,880.0,58.0,70.0,45.0
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,2408523,1220736,1187787,2224839,142427,1978,1468,183,35149,60,530015,145865,973.0,52.0,64.0,40.0
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,2363937,1240801,1123136,2073356,235741,1901,20072,285,30850,79,335754,196179,905.0,54.0,63.0,44.0
Rajasthan,Bundi,25.48580716049379,75.79984074074079,1110906,577160,533746,1017688,66609,682,11059,144,13455,24,239836,63452,925.0,53.0,64.0,40.0
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,1544338,783171,761167,1413163,97855,1274,1515,252,25843,136,366780,88873,972.0,53.0,66.0,40.0
Rajasthan,Churu,28.29330375536484,74.65846427038629,2039547,1051446,988101,1777879,249736,958,402,188,7104,127,344897,148996,940.0,56.0,66.0,46.0
Rajasthan,Dausa,26.91234817629181,76.57342097264443,1634409,857787,776622,1582335,45488,439,296,94,3737,115,361084,59610,905.0,57.0,70.0,44.0
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,1206516,653647,552869,1127520,72258,688,1356,92,2739,21,214670,58626,846.0,57.0,67.0,45.0
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,1388552,696532,692020,1340065,28662,830,240,226,16141,853,322816,31547,994.0,49.0,60.0,38.0
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,1969168,1043340,925828,1437144,50688,2077,474853,938,1988,164,397697,164897,887.0,61.0,68.0,52.0
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,1774692,931184,843508,1433067,118673,1542,216997,241,1935,138,389059,108694,906.0,58.0,67.0,49.0
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,6626178,3468507,3157671,5819980,687452,12708,18782,1020,81079,257,754841,977838,910.0,65.0,74.0,55.0
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,669919,361708,308211,497045,168129,874,1723,98,1521,34,159117,30830,852.0,46.0,58.0,32.0
Rajasthan,Jalor,25.07578093797277,72.18647261724662,1828730,936634,892096,1732852,78990,730,231,144,14640,82,419216,48202,952.0,45.0,58.0,32.0
Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,1411129,725143,685986,1299751,96164,842,819,46,12488,42,298624,63763,946.0,52.0,64.0,40.0
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,2137045,1095896,1041149,1905682,228178,1004,275,56,548,85,500452,150357,950.0,64.0,74.0,53.0
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,3687165,1923928,1763237,3224399,411558,6035,4123,514,36697,80,584215,307442,916.0,55.0,66.0,43.0
Rajasthan,Karauli,26.51901555555556,76.96081818181815,1458248,783639,674609,1370977,81553,602,297,70,3424,413,305047,59308,861.0,55.0,68.0,41.0
